Tool / action,What it does,Type,Switch,Cobuild path,What remains in ADTK,Functional verdict,Existing seconds,Cobuild seconds,Latency verdict,Speed enhancement,Pilot scope,Pilot Existing median seconds,Pilot bridge median seconds,Pilot data median seconds,Pilot explanation median seconds,Pilot successes / trials,Pilot full output matches,Pilot performance verdict,Second Look,Scope / remaining work,Candidate attempt,Evidence transport,Measured credits,Tested at UTC
list_hosts,List connected DSS instances,Read,Existing / Headless-Cobuild,Pilot: ADTK reads → data returned → one asynchronous Cobuild interpretation; other arguments use original bridge,"Executor, permissions, host routing, evidence",Matched scope,0.775,8.555,11.0× slower in sample,Immediate data + one compact interpretation,probe=False only,0.76,11.095,2.284,8.312,10 / 10,10,25.1% faster explanation vs bridge; data 3.01× Existing,Omitted at user request; existing permissions and confirmations retained,Read with bounded/default arguments,1,Direct Cobuild SDK + real ADTK reads,Not returned by API,
instance_health,Summarize DSS health and findings,Read,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence",Matched scope,14.543,21.994,1.5× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Read with bounded/default arguments,1,Direct Cobuild SDK + real ADTK reads,Not returned by API,
compute_cost,Inspect resource use and estimated compute cost,Read,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence",Matched scope,20.297,10.494,"0.52× existing time; cache/order affected, inconclusive",Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Read with bounded/default arguments,1,Direct Cobuild SDK + real ADTK reads,Not returned by API,
config_inspect,Inspect DSS configuration and object inventories,Read,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence",Matched scope,0.79,14.605,18.5× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Projects domain filtered to ATKCOBUILDTEST; other domains not yet compared,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:17:30.444604+00:00
log_errors,Group errors found in DSS logs,Read,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence",Matched scope,0.933,9.28,9.9× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Read with bounded/default arguments,1,Direct Cobuild SDK + real ADTK reads,Not returned by API,
log_tail,Read a filtered tail of DSS logs,Read,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence",Matched scope,0.795,8.517,10.7× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Read with bounded/default arguments,3,Direct Cobuild SDK + real ADTK reads,Not returned by API,
storage_footprint,Measure disk use by project and category,Read,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence",Matched scope,2.119,13.072,6.2× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Read with bounded/default arguments,1,Direct Cobuild SDK + real ADTK reads,Not returned by API,
k8s_health,Inspect Kubernetes clusters and findings,Read,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence",Matched scope,4.302,12.883,3.0× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Empty cluster inventory only; no active-cluster health parity established,1,Direct Cobuild SDK + real ADTK reads,Not returned by API,
db_health,Inspect PostgreSQL health,Read,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence",Matched scope,0.106,9.129,86.1× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,"Tables view, top 2 rows, with DB Health credential temporarily configured; original config restored",1,deployed HTTP bridge,Not returned by API,2026-09-14T22:15:46.225299+00:00
toolkit_get,Read an allowed ADTK endpoint,Read,Existing / Headless-Cobuild,Pilot: ADTK reads → data returned → one asynchronous Cobuild interpretation; other arguments use original bridge,"Executor, permissions, host routing, evidence",Matched scope,0.76,11.156,14.7× slower in sample,Immediate data + one compact interpretation,"Version endpoint, no field projection or parameters",0.756,11.081,2.285,8.323,10 / 10,10,24.9% faster explanation vs bridge; data 3.02× Existing,Omitted at user request; existing permissions and confirmations retained,Version endpoint only; other endpoints not yet compared,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:17:42.361798+00:00
list_capabilities,List enabled agent tools and actions,Read,Existing / Headless-Cobuild,Pilot: ADTK reads → data returned → one asynchronous Cobuild interpretation; other arguments use original bridge,"Executor, permissions, host routing, evidence",Matched scope,0.771,10.207,13.2× slower in sample,Immediate data + one compact interpretation,Inventory counts interpretation; full catalog retained,0.001,14.235,1.538,7.559,10 / 10,10,"46.9% faster explanation vs bridge; Existing used warm cache, ratio not meaningful",Omitted at user request; existing permissions and confirmations retained,Read with bounded/default arguments,1,Direct Cobuild SDK + real ADTK reads,Not returned by API,
project-delete,Back up and delete a project,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.358,15.9,11.7× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Disposable project: independently verify absence and readable ZIP backup,1,deployed HTTP bridge,Not returned by API,2026-09-14T23:06:02.718028+00:00
code-env-delete,Back up and delete a code environment,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,0.464,17.521,37.8× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Back up and delete unused disposable environment,1,deployed HTTP bridge,Not returned by API,2026-09-14T22:01:14.780591+00:00
image-delete,Delete selected container images,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,3.669,20.707,5.6× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Two authorized oldest akaos base images tagged DSS 14.7.0; one deletion per path; other repository images preserved,1,deployed HTTP bridge,Not returned by API,2026-09-15T00:40:42.519958+00:00
db-vacuum,Vacuum a selected PostgreSQL table,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,0.117,18.257,156.0× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,One owned 10-row table; verify maintenance and preserve row count; temporary DB Health credential restored,1,deployed HTTP bridge,Not returned by API,2026-09-14T22:16:04.635780+00:00
db-analyze,Refresh statistics for a PostgreSQL table,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,0.095,16.198,170.5× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,One owned 10-row table; verify maintenance and preserve row count; temporary DB Health credential restored,1,deployed HTTP bridge,Not returned by API,2026-09-14T22:16:20.944612+00:00
plugin-deploy,Copy a plugin to another managed instance,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Skipped,,,Not measured,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Skipped at the user’s request; no paired deployment comparison performed.,,Direct Cobuild SDK + real ADTK reads,Not returned by API,2026-09-15T00:41:27.489572+00:00
k8s-exec-config-tune,Change execution-config CPU and memory limits,read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,20.052,37.2,1.9× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Memory limit on unused disposable execution config,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:51:42.331028+00:00
log-cleanup,Delete eligible old rotated logs,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,2.974,19.981,6.7× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,One uniquely named 1980-dated rotated log; refuses extra candidates,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:58:56.895865+00:00
docker-prune,Prune Docker images or build cache,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,5.671,22.42,4.0× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,One tiny imported dangling image; refuse other candidates; compare all pre-existing image IDs; builder mode untested,1,deployed HTTP bridge,Not returned by API,2026-09-14T22:25:19.288368+00:00
k8s-apply-fix,Apply a reviewed Kubernetes repair,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,4.357,26.011,6.0× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Label one owned ConfigMap on the single t3.small test cluster,1,deployed HTTP bridge,Not returned by API,2026-09-14T23:55:31.037319+00:00
