surface,id,capability,scope,headless_mapping,coverage,decision,remains_in_adtk,upstream_value,credit_path,priority,effort,evidence,constraint,next_validation,source
ADTK tool,list_hosts,Host inventory and reachability,Agent capability,list_instances; get_current_instance,Partial,Keep in ADTK,"Retain fleet registry, probe, identity binding; optionally translate profile discovery",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,"Headless profiles are local configuration, not ADTK fleet reachability or per-call host routing",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/tools_impl.py
ADTK tool,instance_health,Deterministic instance health and evidence,Agent capability,None exposed,No equivalent,Keep in ADTK,"Health scoring, scan cache, issue rules and evidence",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,DSS object inventories do not produce host health scores,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/tools_impl.py
ADTK tool,compute_cost,Compute and LLM cost attribution,Agent capability,None exposed,No equivalent,Keep in ADTK,"Audit collection, attribution, pricing and retention-window reporting",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,LLM model listing is not usage accounting; ADTK cost estimates are not Cobuild credit balances,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/tools_impl.py
ADTK tool,config_inspect,Inspect 19 administrative domains,Agent capability,See each domain row,Partial,Keep in ADTK,"Enrichment, fleet scans, filtering, redaction, output contracts",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,Basic object listing covers only part of the domain semantics,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/tools_impl.py
ADTK tool,log_errors,Grouped backend.log errors,Agent capability,get_job_log is job-specific only,No equivalent,Keep in ADTK,"Managed-host collection, grouping and severity evidence",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,Job logs are not backend.log,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/tools_impl.py
ADTK tool,log_tail,Bounded backend.log search and tail,Agent capability,get_job_log is job-specific only,No equivalent,Keep in ADTK,"Host macro, path policy, redaction, output limits",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,No arbitrary managed-host log access in upstream,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/tools_impl.py
ADTK tool,storage_footprint,Per-project storage and inactive footprint,Agent capability,Managed-folder listing is narrower,No equivalent,Keep in ADTK,"Host scans, byte accounting and inactivity joins",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,Listing DSS objects is not filesystem size measurement,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/tools_impl.py
ADTK tool,k8s_health,"Cluster reachability, state and deep diagnostics",Agent capability,list_container_exec_configs is configuration only,No equivalent,Keep in ADTK,"Cluster probes, macros, audit findings",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,Execution configuration is not cluster health,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/tools_impl.py
ADTK tool,db_health,Runtime PostgreSQL diagnostics,Agent capability,list_connections is discovery only,No equivalent,Keep in ADTK,"Database queries, connection selection, bloat and maintenance evidence",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,Connection metadata does not measure database health,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/tools_impl.py
ADTK tool,toolkit_get,Curated read bridge: 21 endpoints,Agent capability,See each curated-read row,Partial,Keep in ADTK,Endpoint allowlist and specialized backend data,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,No upstream generic ADTK endpoint bridge,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/tools_impl.py
ADTK tool,list_capabilities,"Live tools, domains, actions and page guidance",Agent capability,MCP tools/list protocol discovery,Partial,Keep in ADTK,Gate-aware capability registry and page mapping,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,MCP schema discovery does not encode Toolkit availability or UI destinations,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/tools_impl.py
